open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2025-05-29 08:00:00,107839.5,108860.0,107638.6,108740.0,27695.002,2025-05-29 11:59:59.999,3003712080.96,481260,13580.886,1472956540.282
2025-05-29 12:00:00,108740.0,108772.9,106400.0,106972.5,66342.689,2025-05-29 15:59:59.999,7131785194.3416,1090918,32140.022,3454745265.0668
2025-05-29 16:00:00,106972.6,107121.1,105580.0,105699.2,52209.294,2025-05-29 19:59:59.999,5552219009.3472,969213,25094.869,2669583848.3015
2025-05-29 20:00:00,105699.1,106415.0,105054.2,105539.9,22737.451,2025-05-29 23:59:59.999,2407629957.7604,440899,11224.157,1189163690.848
2025-05-30 00:00:00,105539.9,106175.9,104521.0,105978.8,41953.33,2025-05-30 03:59:59.999,4426943828.4996,762735,20953.956,2211198370.507
2025-05-30 04:00:00,105978.8,106266.0,104680.4,104997.5,28438.438,2025-05-30 07:59:59.999,3001010849.0254,532631,13410.519,1415000389.718
2025-05-30 08:00:00,104997.5,105940.1,104568.0,105827.4,35034.252,2025-05-30 11:59:59.999,3690094057.6501,664699,16456.61,1733453055.5281
2025-05-30 12:00:00,105827.4,105949.1,105000.1,105504.0,38288.794,2025-05-30 15:59:59.999,4039991702.5607,776467,19459.215,2053122277.6302
2025-05-30 16:00:00,105504.0,105531.5,103650.2,104597.6,52008.664,2025-05-30 19:59:59.999,5426751125.9158,928495,25418.669,2652130893.8608
2025-05-30 20:00:00,104597.6,104849.9,103555.0,103950.0,23977.824,2025-05-30 23:59:59.999,2498384437.9276,497083,11223.523,1169701634.1051
2025-05-31 00:00:00,103949.9,104259.4,103032.1,103640.1,32955.856,2025-05-31 03:59:59.999,3414462414.2899,752930,16067.038,1664906583.1177
2025-05-31 04:00:00,103640.2,103863.6,103433.1,103700.6,11063.629,2025-05-31 07:59:59.999,1146964103.3846,238680,5443.356,564383354.7173
2025-05-31 08:00:00,103700.5,103770.2,103249.9,103460.9,10547.557,2025-05-31 11:59:59.999,1091481283.1481,248964,5274.833,545868291.8781
2025-05-31 12:00:00,103460.9,104800.0,103444.4,104497.1,29627.761,2025-05-31 15:59:59.999,3088243138.3317,483855,15273.82,1592085413.5308
2025-05-31 16:00:00,104497.1,104743.8,104215.0,104653.9,11091.248,2025-05-31 19:59:59.999,1159020934.5171,251612,4767.556,498273458.7386
2025-05-31 20:00:00,104653.9,104859.3,104423.0,104544.7,8321.789,2025-05-31 23:59:59.999,871059140.0564,197493,3753.188,392842860.0603
2025-06-01 00:00:00,104544.6,104599.6,103860.9,104336.4,14341.262,2025-06-01 03:59:59.999,1494574423.2166,304254,7393.677,770555576.2971
2025-06-01 04:00:00,104336.4,104700.0,104138.0,104231.0,9469.678,2025-06-01 07:59:59.999,988693150.0332,202506,4674.207,488004046.7718
2025-06-01 08:00:00,104230.9,104410.5,103704.1,104038.0,15555.538,2025-06-01 11:59:59.999,1617474940.6697,318122,7830.878,814338190.6423
2025-06-01 12:00:00,104038.0,104760.0,103708.6,104664.0,16896.822,2025-06-01 15:59:59.999,1763524927.5276,345663,8306.908,866953680.6899
2025-06-01 16:00:00,104663.9,105285.0,104280.1,105075.2,24033.126,2025-06-01 19:59:59.999,2521074043.7899,445618,12154.681,1275119487.2696
2025-06-01 20:00:00,105075.2,105823.6,104833.1,105583.3,17123.814,2025-06-01 23:59:59.999,1804393208.0395,343786,8420.127,887338119.9331
2025-06-02 00:00:00,105583.3,105700.0,104520.0,104781.8,17614.141,2025-06-02 03:59:59.999,1851799777.5764,375517,8198.17,861902133.1769
2025-06-02 04:00:00,104781.8,105398.5,104549.8,105346.4,15376.453,2025-06-02 07:59:59.999,1614097051.5661,303406,7701.878,808574901.645
2025-06-02 08:00:00,105346.4,105900.0,103867.8,104000.0,39491.959,2025-06-02 11:59:59.999,4137952375.7934,656632,18873.183,1977555778.9608
2025-06-02 12:00:00,104000.1,104646.1,103600.6,104396.8,42551.179,2025-06-02 15:59:59.999,4430377424.7079,783618,21840.375,2274315514.761
2025-06-02 16:00:00,104396.9,104699.4,103982.9,104366.4,15855.761,2025-06-02 19:59:59.999,1653474357.1724,386081,7820.324,815556869.4376
2025-06-02 20:00:00,104366.5,105893.8,104366.5,105814.3,27363.425,2025-06-02 23:59:59.999,2881073046.7583,489549,13806.754,1453596873.5109
2025-06-03 00:00:00,105814.4,106470.8,105280.0,105448.8,29321.06,2025-06-03 03:59:59.999,3106506054.4771,547063,14330.937,1518296666.9666
2025-06-03 04:00:00,105448.8,105475.4,105062.5,105134.4,12956.522,2025-06-03 07:59:59.999,1363841873.445,249888,6638.888,698856543.0501
2025-06-03 08:00:00,105134.4,105305.2,104822.4,105240.1,12289.458,2025-06-03 11:59:59.999,1291619143.7914,235405,6366.031,669099896.1349
2025-06-03 12:00:00,105240.1,106775.0,104969.4,106556.1,42236.633,2025-06-03 15:59:59.999,4477072333.5646,748259,21321.94,2260014678.524
2025-06-03 16:00:00,106556.1,106619.6,105526.2,106171.8,25039.332,2025-06-03 19:59:59.999,2655054853.6118,493736,12456.712,1320794214.3851
2025-06-03 20:00:00,106179.7,106208.0,105200.4,105330.1,17373.002,2025-06-03 23:59:59.999,1834021649.8952,332557,8615.631,909501890.36
2025-06-04 00:00:00,105330.1,105800.0,105072.0,105474.9,15154.628,2025-06-04 03:59:59.999,1598544478.4556,313623,7874.639,830707742.0521
2025-06-04 04:00:00,105474.8,105566.4,105200.0,105260.2,9967.039,2025-06-04 07:59:59.999,1049952406.286,211200,5278.603,556082849.1662
2025-06-04 08:00:00,105260.1,105967.2,105039.1,105044.1,22229.278,2025-06-04 11:59:59.999,2344837518.8336,373175,11055.743,1166291227.9201
2025-06-04 12:00:00,105044.2,105510.2,104111.7,105254.7,44030.271,2025-06-04 15:59:59.999,4617509524.4547,762622,21710.506,2276998612.51
2025-06-04 16:00:00,105254.7,105437.8,104824.0,104870.4,14054.096,2025-06-04 19:59:59.999,1477469745.8298,302750,6711.439,705539942.0908
2025-06-04 20:00:00,104870.4,105006.3,104350.0,104641.8,13098.813,2025-06-04 23:59:59.999,1371249477.9806,264539,5990.811,627248057.3918
2025-06-05 00:00:00,104641.8,105225.6,104594.8,104991.4,11856.411,2025-06-05 03:59:59.999,1243923908.9888,248867,5880.314,616949706.977
2025-06-05 04:00:00,104991.5,105183.0,104321.2,104473.0,15487.56,2025-06-05 07:59:59.999,1621008383.8643,279778,7304.798,764462168.6746
2025-06-05 08:00:00,104473.1,104880.0,104373.0,104772.7,10288.16,2025-06-05 11:59:59.999,1076735868.575,218630,5410.911,566309457.0545
2025-06-05 12:00:00,104772.7,105878.3,103825.0,104490.5,68596.82,2025-06-05 15:59:59.999,7188311584.4903,1082456,33593.766,3520008109.9586
2025-06-05 16:00:00,104490.5,104547.9,101500.0,101872.9,76338.478,2025-06-05 19:59:59.999,7856618626.3312,1241635,34444.719,3544498841.2351
2025-06-05 20:00:00,101873.0,102163.9,100305.1,101458.6,63671.245,2025-06-05 23:59:59.999,6439935580.7351,1048698,30531.831,3088509112.3758
2025-06-06 00:00:00,101458.7,102464.7,101003.4,102444.9,24397.812,2025-06-06 03:59:59.999,2482944052.1948,441280,12448.759,1267227684.144
2025-06-06 04:00:00,102445.0,103424.5,102321.1,103096.8,28923.945,2025-06-06 07:59:59.999,2976248841.7675,441858,14056.889,1446413147.6495
2025-06-06 08:00:00,103096.7,103953.9,103096.7,103866.0,24302.565,2025-06-06 11:59:59.999,2517654417.7315,401360,12138.33,1257460186.4841
2025-06-06 12:00:00,103865.9,105283.0,103471.4,105035.4,61774.111,2025-06-06 15:59:59.999,6448969351.1543,944279,31062.122,3243560616.2352
2025-06-06 16:00:00,105035.4,105240.0,104010.0,104176.9,25548.57,2025-06-06 19:59:59.999,2673572071.3005,483259,11537.136,1207294109.7514
2025-06-06 20:00:00,104177.0,104574.9,104109.2,104240.0,9353.903,2025-06-06 23:59:59.999,975714484.4552,198189,5202.367,542664707.7682
2025-06-07 00:00:00,104240.1,104856.0,103800.1,104822.4,15787.969,2025-06-07 03:59:59.999,1648329243.148,300733,8429.993,880354695.9622
2025-06-07 04:00:00,104822.4,105293.0,104591.9,104813.6,13412.441,2025-06-07 07:59:59.999,1407220000.1174,255282,6951.083,729436361.9726
2025-06-07 08:00:00,104813.7,105222.0,104632.0,105094.5,10912.449,2025-06-07 11:59:59.999,1145449112.1397,213316,5818.331,610794667.9177
2025-06-07 12:00:00,105094.5,105758.8,105094.4,105507.9,19660.879,2025-06-07 15:59:59.999,2073433475.9746,358191,10783.993,1137407873.7742
2025-06-07 16:00:00,105507.9,105850.0,105222.6,105694.2,13309.422,2025-06-07 19:59:59.999,1405280002.7743,237967,7080.013,747652434.7666
2025-06-07 20:00:00,105694.1,105878.3,105482.7,105507.5,6750.013,2025-06-07 23:59:59.999,713619656.372,145354,3140.046,331993666.3383
2025-06-08 00:00:00,105507.5,105760.5,105347.0,105436.4,8070.07,2025-06-08 03:59:59.999,851205632.5269,158547,3938.471,415442737.165
2025-06-08 04:00:00,105436.5,105617.2,105358.2,105380.4,5648.935,2025-06-08 07:59:59.999,595752468.17,117456,2985.581,314881910.4845
2025-06-08 08:00:00,105380.5,105666.6,104927.4,105619.2,15763.69,2025-06-08 11:59:59.999,1659862457.5722,282336,7971.629,839439717.3131
2025-06-08 12:00:00,105619.2,106200.0,105450.0,105917.5,19486.972,2025-06-08 15:59:59.999,2060724529.6149,345100,9870.529,1044056476.4856
2025-06-08 16:00:00,105917.6,106300.0,105888.5,106242.6,13202.73,2025-06-08 19:59:59.999,1401587686.2874,233170,7258.606,770630383.5082
2025-06-08 20:00:00,106242.6,106482.6,105511.0,105676.5,12932.707,2025-06-08 23:59:59.999,1369880622.2635,261116,6721.058,712091368.3792
2025-06-09 00:00:00,105676.5,105929.8,105253.2,105617.0,12640.84,2025-06-09 03:59:59.999,1334426901.2337,286145,6644.148,701441292.2577
2025-06-09 04:00:00,105617.0,105685.7,105265.0,105516.7,8731.33,2025-06-09 07:59:59.999,920920665.2203,180240,4673.568,492962100.523
2025-06-09 08:00:00,105516.7,107774.8,105429.2,107707.9,49256.42,2025-06-09 11:59:59.999,5265294678.608,769063,28053.385,2998523448.27
2025-06-09 12:00:00,107707.8,107985.0,106800.3,107564.3,43730.983,2025-06-09 15:59:59.999,4702663077.2503,714522,20803.596,2237506334.9503
2025-06-09 16:00:00,107564.3,108791.8,107563.4,108515.1,31629.447,2025-06-09 19:59:59.999,3423205581.6145,549596,16876.987,1826910074.0738
2025-06-09 20:00:00,108515.1,110653.6,108383.0,110227.9,46967.389,2025-06-09 23:59:59.999,5153877911.0005,706636,26591.202,2917585909.8668
2025-06-10 00:00:00,110228.0,110280.0,109340.0,109525.8,20879.389,2025-06-10 03:59:59.999,2291430494.1554,370604,9571.004,1050461372.0313
